Date,Name,Year,Letterboxd URI,Rating
2021-08-22,Chungking Express,1994,https://boxd.it/1UDa,5
2021-08-22,Fallen Angels,1995,https://boxd.it/1UkW,5
2021-08-22,Drive,2011,https://boxd.it/IG,2
2021-08-22,Amélie,2001,https://boxd.it/2aUc,4
2021-08-22,Blade Runner,1982,https://boxd.it/2bcA,3.5
2021-08-22,Lady Bird,2017,https://boxd.it/dGNE,3
2021-08-22,The Devil Wears Prada,2006,https://boxd.it/2awE,4
2021-08-22,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2021-08-22,Moonrise Kingdom,2012,https://boxd.it/2Wng,2.5
2021-08-22,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3
2021-08-22,Groundhog Day,1993,https://boxd.it/2b3e,4.5
2021-08-22,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2021-08-22,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,4
2021-08-22,Lux Æterna,2019,https://boxd.it/m6b8,3.5
2021-08-22,I Killed My Mother,2009,https://boxd.it/1ubO,4.5
2021-08-22,Breakfast on Pluto,2005,https://boxd.it/28MU,3.5
2021-08-22,Solaris,1972,https://boxd.it/2a2Y,4
2021-08-22,Mirror,1975,https://boxd.it/28Q8,3.5
2021-08-22,Brother,1997,https://boxd.it/1CA8,3.5
2021-08-22,The Fool,2014,https://boxd.it/8QXu,4.5
2021-08-22,Call Me by Your Name,2017,https://boxd.it/dYmm,3
2021-08-22,Split,2016,https://boxd.it/dgSy,4
2021-08-22,Atonement,2007,https://boxd.it/24ui,3.5
2021-08-22,Wanted,2008,https://boxd.it/1ZBS,3.5
2021-08-22,Starter for 10,2006,https://boxd.it/1OQW,4
2021-08-22,Dead Man's Bluff,2005,https://boxd.it/1CzO,4.5
2021-08-22,Filth,2013,https://boxd.it/32NY,5
2021-08-22,American History X,1998,https://boxd.it/2bdo,4.5
2021-08-22,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
